sample_id,b1_mae,b1_rmse,b1_d1,b1_px,b2_mae,b2_rmse,b2_d1,b2_px,b3_mae,b3_rmse,b3_d1,b3_px,b4_mae,b4_rmse,b4_d1,b4_px,b5_mae,b5_rmse,b5_d1,b5_px,b6_mae,b6_rmse,b6_d1,b6_px,all_mae,all_rmse,all_d1,all_px
environment_1/02711,2.213212,2.213222,0.0,2,1.21443,1.983602,0.620365,22490,0.605929,1.041075,0.815775,19601,1.629385,2.286219,0.622543,15774,3.241339,4.441266,0.479529,11455,7.440974,8.910061,0.293239,7499,2.054452,3.632182,0.617722,76821
environment_1/02712,6.512697,6.647443,0.0,187,1.152047,2.065374,0.67817,11127,0.620409,1.193338,0.879325,33064,1.286796,2.057268,0.690645,9856,3.538487,4.54538,0.426485,14446,7.279522,8.387114,0.219683,7570,2.012532,3.576775,0.672144,76250
environment_1/02713,2.075858,2.08594,0.0,447,1.372474,2.281493,0.614007,35011,1.141428,1.54989,0.646544,16565,2.711972,3.409061,0.410354,7340,5.789182,6.475237,0.188892,13108,11.402801,11.908272,0.013827,6292,2.989021,4.715178,0.479692,78763
environment_1/02714,2.998154,4.365599,0.322606,15102,1.538589,2.172911,0.343008,22498,2.364367,2.73492,0.29346,11177,4.234852,4.765358,0.235675,11728,7.237822,7.931493,0.103448,9512,12.503508,12.86911,0.000148,6778,4.031266,5.665425,0.255459,76795
environment_1/02715,3.212994,4.714364,0.041816,37689,1.694646,2.444297,0.44751,4639,2.012319,2.971808,0.55335,15717,3.398261,4.509959,0.470228,7843,5.741439,6.969612,0.22893,9160,10.014129,10.999921,0.111455,7115,3.786111,5.482399,0.230359,82163
environment_1/02716,2.307599,2.3077,0.0,2,1.5584,2.776044,0.605213,17840,0.925157,1.734375,0.767218,20865,1.89349,2.516195,0.548609,13053,3.883956,4.964521,0.433961,13333,7.715825,8.805346,0.197595,7070,2.468873,4.008768,0.570223,72163
environment_1/02717,4.107089,5.072712,0.002236,8498,1.450447,2.491648,0.612597,12860,1.453333,1.908382,0.617831,16668,2.449966,3.014713,0.487162,14995,5.582961,6.346239,0.23257,14099,10.632654,11.153935,0.032815,6430,3.556741,5.033255,0.394154,73550
environment_1/02718,0.773183,1.699232,0.377199,32394,2.577307,2.945663,0.180055,7992,3.504065,4.062381,0.231654,13382,5.499653,6.135301,0.193792,7023,6.369414,7.403798,0.201124,9432,12.583715,13.197063,0.029762,4872,3.362993,5.178263,0.268473,75095
environment_1/02719,0.488233,0.543972,0.634746,1911,1.010559,1.802461,0.640292,17656,1.151577,1.715707,0.747494,20253,2.231883,2.871306,0.528616,12633,4.082473,4.948163,0.334469,13206,8.300393,9.049592,0.101097,6746,2.488796,3.893303,0.544631,72405
environment_1/02720,1.597308,2.980011,0.388823,15156,1.411391,1.980751,0.540866,14780,2.014334,2.39025,0.346267,13299,3.915187,4.446699,0.167239,8730,8.164602,8.465629,0.014284,9381,12.424505,12.577828,0.0,7330,3.985397,5.753172,0.292475,68676
